Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Erbezzo;351.970;Erbezzo;359.275;470,26;9.56;460,69;7.305;1997;764.000
Ferrara di Monte Baldo;156.736;Ferrara di Monte Baldo;174.396;838,44;84.90;753,54;17.660;1997;208.000
Fumane;1.177.900;Fumane;1.327.081;358,96;40.35;318,61;149.181;1997;3.697
Garda;3.083.600;Garda;3.249.250;908,88;46.34;862,55;165.650;1997;3.575
Gazzo Veronese;1.650.300;Gazzo Veronese;2.129.120;373,99;84.11;289,88;478.820;1997;5.693
Grezzana;3.450.000;Grezzana;3.772.985;390,25;33.41;356,85;322.985;1997;9.668
Illasi;1.745.970;Illasi;1.819.160;379,31;15.26;364,05;73.190;1997;4.796
Isola della Scala;3.829.560;Isola della Scala;4.185.412;409,97;34.86;375,12;355.852;1997;10.209
Isola Rizza;901.840;Isola Rizza;920.954;339,84;7.05;332,78;19.114;1997;2.710
Lavagno;2.074.250;Lavagno;2.284.590;399,4;36.77;362,63;210.340;1997;5.720
Lazise;4.418.600;Lazise;4.617.770;810,7;34.97;775,74;199.170;1997;5.696
Legnago;10.766.000;Legnago;11.635.697;458,48;34.27;424,21;869.697;1997;25.379
Malcesine;3.223.540;Malcesine;3.501.390;999,54;79.32;920,22;277.850;1997;3.503
Marano di Valpolicella;847.420;Marano di Valpolicella;902.008;328,6;19.89;308,71;54.588;1997;2.745
Mezzane di Sotto;569.770;Mezzane di Sotto;583.010;307,82;6.99;300,83;13.240;1997;1.894
Minerbe;1.486.190;Minerbe;1.548.790;333,43;13.48;319,95;62.600;1997;4.645
Montecchia di Crosara;883.340;Montecchia di Crosara;918.930;223,97;8.67;215,29;35.590;1997;4.103
Monteforte d'Alpone;2.606.670;Monteforte d'Alpone;3.060.664;438,3;65.01;373,29;453.994;1997;6.983
Mozzecane;1.587.000;Mozzecane;1.845.850;401,62;56.32;345,3;258.850;1997;4.596
Negrar;5.312.260;Negrar;5.826.268;370,37;32.67;337,69;514.008;1997;15.731
Nogara;3.284.410;Nogara;3.698.080;481,14;53.82;427,32;413.670;1997;7.686
Nogarole Rocca;961.480;Nogarole Rocca;991.940;361,63;11.10;350,52;30.460;1997;2.743
Oppeano;2.324.700;Oppeano;2.596.510;390,45;40.87;349,58;271.810;1997;6.650
Palu';325.140;Palù;367.950;324,47;37.75;286,72;42.810;1997;1.134
