Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Grantorto;513.340;Grantorto;1.514.954;338,61;223.87;114,74;1.001.614;2007;4.474
Granze;202.320;Granze;686.652;352,67;248.76;103,91;484.332;2007;1.947
Legnaro;1.422.890;Legnaro;3.405.696;412,31;240.05;172,26;1.982.806;2007;8.260
Limena;1.451.770;Limena;4.183.118;567,36;370.45;196,9;2.731.348;2007;7.373
Loreggia;656.650;Loreggia;2.356.520;345,68;249.36;96,33;1.699.870;2007;6.817
Lozzo Atestino;440.540;Lozzo Atestino;1.193.812;372,83;235.25;137,58;753.272;2007;3.202
Masera' di Padova;1.130.360;Maserà di Padova;3.135.743;355,69;227.47;128,22;2.005.383;2007;8.816
Masi;149.550;Masi;593.521;320,48;239.73;80,75;443.971;2007;1.852
Massanzago;642.742;Massanzago;1.674.823;304,07;187.38;116,69;1.032.081;2007;5.508
Megliadino San Fidenzio;312.370;Megliadino San Fidenzio;988.348;497,66;340.37;157,29;675.978;2007;1.986
Megliadino San Vitale;190.700;Megliadino San Vitale;676.304;336,64;241.71;94,92;485.604;2007;2.009
Merlara;361.000;Merlara;1.268.038;430,57;307.99;122,58;907.038;2007;2.945
Mestrino;1.233.650;Mestrino;3.684.723;358,3;238.34;119,96;2.451.073;2007;10.284
Monselice;4.270.080;Monselice;10.156.365;578,38;335.21;243,17;5.886.285;2007;17.560
Montagnana;1.718.940;Montagnana;5.166.545;543,96;362.98;180,98;3.447.605;2007;9.498
Montegrotto Terme;2.536.520;Montegrotto Terme;7.372.355;677,23;444.23;233,01;4.835.835;2007;10.886
Noventa Padovana;1.923.750;Noventa Padovana;5.382.443;526,35;338.23;188,12;3.458.693;2007;10.226
Ospedaletto Euganeo;931.230;Ospedaletto Euganeo;2.661.447;459,03;298.42;160,61;1.730.217;2007;5.798
Padova;86.908.223;Padova;144.718.366;688,57;275.06;413,51;57.810.143;2007;210.173
Pernumia;586.422;Pernumia;1.525.230;396,99;244.35;152,63;938.808;2007;3.842
Piacenza d'Adige;311.330;Piacenza d'Adige;1.051.631;738,5;519.87;218,63;740.301;2007;1.424
Piazzola sul Brenta;1.483.080;Piazzola sul Brenta;4.143.962;376,62;241.83;134,79;2.660.882;2007;11.003
Piombino Dese;1.225.340;Piombino Dese;3.397.353;368,32;235.47;132,84;2.172.013;2007;9.224
Piove di Sacco;4.195.700;Piove di Sacco;9.703.071;523,5;297.13;226,37;5.507.371;2007;18.535
Polverara;330.640;Polverara;1.276.222;445,3;329.93;115,37;945.582;2007;2.866
Ponso;261.370;Ponso;998.635;411,64;303.90;107,74;737.265;2007;2.426
Pontelongo;585.360;Pontelongo;1.633.469;405,33;260.08;145,25;1.048.109;2007;4.030
Ponte San Nicolo';2.362.910;Ponte San Nicolò;5.885.681;446,29;267.12;179,17;3.522.771;2007;13.188
Pozzonovo;471.600;Pozzonovo;1.743.960;475,84;347.17;128,68;1.272.360;2007;3.665
Rovolon;492.080;Rovolon;1.757.700;390,08;280.87;109,21;1.265.620;2007;4.506
Rubano;2.318.890;Rubano;5.805.983;390,42;234.49;155,93;3.487.093;2007;14.871
Saccolongo;648.630;Saccolongo;1.742.705;366,89;230.33;136,55;1.094.075;2007;4.750
Saletto;342.700;Saletto;998.299;364,08;239.10;124,98;655.599;2007;2.742
San Giorgio delle Pertiche;1.230.810;San Giorgio delle Pertiche;3.757.181;391,54;263.27;128,26;2.526.371;2007;9.596
San Giorgio in Bosco;806.360;San Giorgio in Bosco;2.110.176;341,51;211.01;130,5;1.303.816;2007;6.179
San Martino di Lupari;1.807.662;San Martino di Lupari;5.440.164;423,13;282.53;140,6;3.632.502;2007;12.857
San Pietro in Gu;688.560;San Pietro in Gu;1.788.535;395,34;243.14;152,2;1.099.975;2007;4.524
San Pietro Viminario;439.620;San Pietro Viminario;1.107.413;389,66;234.97;154,69;667.793;2007;2.842
Santa Giustina in Colle;517.216;Santa Giustina in Colle;1.914.037;269,62;196.76;72,86;1.396.821;2007;7.099
Santa Margherita d'Adige;226.790;Santa Margherita d'Adige;805.040;345,21;247.96;97,25;578.250;2007;2.332
Sant'Angelo di Piove di Sacco;1.162.260;Sant'Angelo di Piove di Sacco;3.160.960;440,86;278.76;162,1;1.998.700;2007;7.170
Sant'Elena;353.920;Sant'Elena;1.056.144;496,54;330.15;166,39;702.224;2007;2.127
Sant'Urbano;175.560;Sant'Urbano;702.336;322,76;242.08;80,68;526.776;2007;2.176
Saonara;1.483.290;Saonara;4.392.824;450,32;298.26;152,05;2.909.534;2007;9.755
Selvazzano Dentro;3.378.900;Selvazzano Dentro;9.983.680;456,13;301.75;154,37;6.604.780;2007;21.888
Solesino;1.199.120;Solesino;4.930.333;699,74;529.55;170,18;3.731.213;2007;7.046
Stanghella;625.118;Stanghella;1.799.663;401,44;262.00;139,44;1.174.545;2007;4.483
Teolo;1.239.700;Teolo;3.994.310;456,81;315.03;141,78;2.754.610;2007;8.744
Terrassa Padovana;357.480;Terrassa Padovana;990.902;399,56;255.41;144,15;633.422;2007;2.480
Tombolo;1.221.990;Tombolo;3.128.394;389,69;237.47;152,22;1.906.404;2007;8.028
Torreglia;925.330;Torreglia;2.435.472;394,47;244.60;149,88;1.510.142;2007;6.174
Trebaseleghe;1.679.860;Trebaseleghe;4.399.264;363,43;224.65;138,77;2.719.404;2007;12.105
Tribano;645.260;Tribano;1.928.430;434,72;289.26;145,46;1.283.170;2007;4.436
Urbana;301.300;Urbana;941.400;424,82;288.85;135,97;640.100;2007;2.216
Veggiano;508.180;Veggiano;1.423.515;353,23;227.13;126,1;915.335;2007;4.030
Vescovana;167.570;Vescovana;595.030;365,95;262.89;103,06;427.460;2007;1.626
Vighizzolo d'Este;86.870;Vighizzolo d'Este;313.367;332,66;240.44;92,22;226.497;2007;942.000
Vigodarzere;1.385.360;Vigodarzere;4.258.938;338,55;228.42;110,12;2.873.578;2007;12.580
Vigonza;2.713.160;Vigonza;9.278.699;437,51;309.58;127,93;6.565.539;2007;21.208
Villa del Conte;731.844;Villa del Conte;1.846.392;341,42;206.09;135,33;1.114.548;2007;5.408
Villa Estense;348.840;Villa Estense;945.815;388,58;245.26;143,32;596.975;2007;2.434
Villafranca Padovana;1.078.560;Villafranca Padovana;3.331.623;359,79;243.31;116,48;2.253.063;2007;9.260
Villanova di Camposampiero;519.890;Villanova di Camposampiero;1.498.684;268,73;175.51;93,22;978.794;2007;5.577
Vo;474.200;Vo;1.548.037;452,91;314.17;138,74;1.073.837;2007;3.418
Due Carrare;1.485.250;Due Carrare;3.798.930;435,46;265.21;170,25;2.313.680;2007;8.724
Adria;4.768.160;Adria;11.500.599;562,18;329.10;233,08;6.732.439;2007;20.457
Ariano nel Polesine;903.170;Ariano nel Polesine;2.041.279;429,38;239.40;189,98;1.138.109;2007;4.754
Arqua' Polesine;389.060;Arquà Polesine;1.265.038;435,77;301.75;134,02;875.978;2007;2.903
Badia Polesine;2.430.585;Badia Polesine;6.187.644;568,87;345.41;223,46;3.757.059;2007;10.877
Bagnolo di Po;189.640;Bagnolo di Po;490.019;343,87;210.79;133,08;300.379;2007;1.425
Bergantino;570.270;Bergantino;1.471.482;559,29;342.54;216,75;901.212;2007;2.631
Bosaro;154.370;Bosaro;566.803;411,92;299.73;112,19;412.433;2007;1.376
Calto;154.910;Calto;441.607;541,85;351.78;190,07;286.697;2007;815.000
Canaro;354.650;Canaro;1.178.517;409,21;286.06;123,14;823.867;2007;2.880
Canda;153.900;Canda;428.088;463,3;296.74;166,56;274.188;2007;924.000
Castelguglielmo;205.440;Castelguglielmo;663.974;386,48;266.90;119,58;458.534;2007;1.718
Castelmassa;751.330;Castelmassa;2.254.939;508,56;339.11;169,45;1.503.609;2007;4.434
Castelnovo Bariano;466.930;Castelnovo Bariano;1.135.814;373,75;220.10;153,65;668.884;2007;3.039
Ceneselli;262.310;Ceneselli;873.443;466,33;326.29;140,05;611.133;2007;1.873
Ceregnano;533.990;Ceregnano;1.675.700;432,33;294.56;137,77;1.141.710;2007;3.876
Corbola;531.880;Corbola;1.202.180;457,28;254.96;202,31;670.300;2007;2.629
Costa di Rovigo;411.180;Costa di Rovigo;1.201.031;423,35;278.41;144,93;789.851;2007;2.837
Crespino;300.850;Crespino;770.418;363,58;221.60;141,98;469.568;2007;2.119
Ficarolo;598.860;Ficarolo;1.243.788;465,66;241.46;224,21;644.928;2007;2.671
Fiesso Umbertiano;707.280;Fiesso Umbertiano;1.936.736;459,05;291.41;167,64;1.229.456;2007;4.219
Frassinelle Polesine;203.900;Frassinelle Polesine;594.015;385,97;253.49;132,49;390.115;2007;1.539
Fratta Polesine;483.180;Fratta Polesine;1.321.886;478,42;303.55;174,88;838.706;2007;2.763
Gaiba;347.480;Gaiba;716.138;638,84;328.87;309,97;368.658;2007;1.121
Gavello;207.920;Gavello;571.401;353,15;224.65;128,5;363.481;2007;1.618
Giacciano Con Baruchella;464.270;Giacciano con Baruchella;1.069.267;471,67;266.87;204,79;604.997;2007;2.267
Guarda Veneta;124.310;Guarda Veneta;419.934;349,65;246.15;103,51;295.624;2007;1.201
Lendinara;1.830.620;Lendinara;5.925.871;485,25;335.35;149,9;4.095.251;2007;12.212
Loreo;698.400;Loreo;1.530.272;403,77;219.49;184,27;831.872;2007;3.790
Lusia;575.770;Lusia;1.521.710;421,18;261.82;159,36;945.940;2007;3.613
Melara;352.460;Melara;849.915;441,51;258.42;183,1;497.455;2007;1.925
Occhiobello;2.248.570;Occhiobello;6.297.708;562,35;361.56;200,78;4.049.138;2007;11.199
Papozze;291.350;Papozze;804.123;465,89;297.09;168,8;512.773;2007;1.726
Pettorazza Grimani;177.350;Pettorazza Grimani;544.246;321,66;216.84;104,82;366.896;2007;1.692
Pincara;175.540;Pincara;526.512;408,47;272.28;136,18;350.972;2007;1.289
Polesella;688.820;Polesella;1.814.114;432,34;268.18;164,16;1.125.294;2007;4.196
Pontecchio Polesine;308.830;Pontecchio Polesine;731.754;399,65;230.98;168,67;422.924;2007;1.831
Porto Tolle;5.233.820;Porto Tolle;6.499.633;633,06;123.29;509,77;1.265.813;2007;10.267
Rosolina;3.375.680;Rosolina;5.164.900;805;278.87;526,13;1.789.220;2007;6.416
Rovigo;17.384.920;Rovigo;36.748.458;712,12;375.23;336,89;19.363.538;2007;51.604
Salara;159.330;Salara;489.500;402,22;271.30;130,92;330.170;2007;1.217
San Bellino;207.680;San Bellino;536.229;448,35;274.71;173,65;328.549;2007;1.196
San Martino di Venezze;560.190;San Martino di Venezze;1.663.637;414,46;274.90;139,56;1.103.447;2007;4.014
Stienta;604.015;Stienta;1.618.445;496;310.89;185,11;1.014.430;2007;3.263
Taglio di Po;1.728.230;Taglio di Po;3.885.991;457,93;254.27;203,66;2.157.761;2007;8.486
Trecenta;617.600;Trecenta;1.430.887;471,93;268.23;203,69;813.287;2007;3.032
Villadose;852.300;Villadose;2.343.868;441,99;281.27;160,72;1.491.568;2007;5.303
Villamarzana;186.900;Villamarzana;470.121;398,41;240.02;158,39;283.221;2007;1.180
Villanova del Ghebbo;385.550;Villanova del Ghebbo;1.057.637;483,16;307.03;176,13;672.087;2007;2.189
Villanova Marchesana;144.810;Villanova Marchesana;397.794;377,77;240.25;137,52;252.984;2007;1.053
Porto Viro;4.722.020;Porto Viro;8.514.260;583,33;259.81;323,51;3.792.240;2007;14.596
Affi;647.620;Affi;1.655.345;730,84;444.91;285,92;1.007.725;2008;2.265
Albaredo d'Adige;782.480;Albaredo d'Adige;1.893.286;353,95;207.67;146,29;1.110.806;2008;5.349
Angiari;327.760;Angiari;871.777;426,51;266.15;160,35;544.017;2008;2.044
Arcole;1.001.980;Arcole;2.554.521;412,22;250.53;161,69;1.552.541;2008;6.197
Badia Calavena;565.880;Badia Calavena;999.913;379,33;164.66;214,67;434.033;2008;2.636
Bardolino;3.765.790;Bardolino;9.215.640;1.390,41;822.25;568,16;5.449.850;2008;6.628
Belfiore;420.730;Belfiore;1.105.906;370,86;229.77;141,09;685.176;2008;2.982
Bevilacqua;200.020;Bevilacqua;807.950;440,06;331.12;108,94;607.930;2008;1.836
Bonavigo;201.040;Bonavigo;805.810;408,21;306.37;101,84;604.770;2008;1.974
Boschi Sant'Anna;201.690;Boschi Sant'Anna;528.351;379,02;234.33;144,68;326.661;2008;1.394
Bosco Chiesanuova;1.556.130;Bosco Chiesanuova;2.221.640;609;182.43;426,57;665.510;2008;3.648
Bovolone;3.768.880;Bovolone;7.740.755;498,25;255.66;242,59;3.971.875;2008;15.536
Brentino Belluno;300.380;Brentino Belluno;791.162;562,3;348.81;213,49;490.782;2008;1.407
Brenzone;605.580;Brenzone;1.609.522;638,95;398.55;240,4;1.003.942;2008;2.519
Bussolengo;3.028.600;Bussolengo;9.340.851;480,52;324.72;155,8;6.312.251;2008;19.439
Buttapietra;717.060;Buttapietra;2.384.400;349,16;244.16;105;1.667.340;2008;6.829
Caldiero;1.771.540;Caldiero;3.256.910;455,58;207.77;247,8;1.485.370;2008;7.149
Caprino Veronese;1.469.970;Caprino Veronese;3.466.296;426,36;245.55;180,81;1.996.326;2008;8.130
Casaleone;945.480;Casaleone;2.665.206;436,06;281.37;154,69;1.719.726;2008;6.112
Castagnaro;668.220;Castagnaro;1.829.111;444,28;281.97;162,31;1.160.891;2008;4.117
Castel d'Azzano;1.112.670;Castel d'Azzano;3.917.239;335,41;240.14;95,27;2.804.569;2008;11.679
Castelnuovo del Garda;3.347.250;Castelnuovo del Garda;7.505.899;616,86;341.77;275,09;4.158.649;2008;12.168
Cavaion Veronese;595.700;Cavaion Veronese;2.321.908;443,96;330.06;113,9;1.726.208;2008;5.230
Cazzano di Tramigna;378.900;Cazzano di Tramigna;641.890;428,78;175.68;253,11;262.990;2008;1.497
Cerea;2.728.230;Cerea;7.831.211;483,38;314.98;168,4;5.102.981;2008;16.201
Cerro Veronese;614.870;Cerro Veronese;1.255.955;516,85;263.82;253,03;641.085;2008;2.430
Cologna Veneta;1.302.340;Cologna Veneta;3.273.539;381,66;229.82;151,84;1.971.199;2008;8.577
Colognola ai Colli;1.995.750;Colognola ai Colli;4.124.655;504,05;260.16;243,89;2.128.905;2008;8.183
Concamarise;188.640;Concamarise;471.217;442,04;265.08;176,96;282.577;2008;1.066
Costermano;1.167.180;Costermano;2.272.730;636,8;309.76;327,03;1.105.550;2008;3.569
Dolce';357.060;Dolcè;1.230.620;479,77;340.57;139,2;873.560;2008;2.565
Erbe';213.300;Erbè;610.038;343,88;223.64;120,24;396.738;2008;1.774
Erbezzo;346.310;Erbezzo;384.350;487,14;48.21;438,92;38.040;2008;789.000
Ferrara di Monte Baldo;226.930;Ferrara di Monte Baldo;235.130;1.103,90;38.50;1.065,40;8.200;2008;213.000
Fumane;499.380;Fumane;1.588.733;383,66;263.07;120,59;1.089.353;2008;4.141
Garda;2.768.470;Garda;4.415.234;1.125,76;419.88;705,88;1.646.764;2008;3.922
Gazzo Veronese;805.770;Gazzo Veronese;2.208.236;393,84;250.13;143,71;1.402.466;2008;5.607
Grezzana;1.038.760;Grezzana;3.501.980;322,35;226.73;95,61;2.463.220;2008;10.864
Illasi;1.345.110;Illasi;2.438.255;463,9;207.98;255,92;1.093.145;2008;5.256
Isola della Scala;1.777.980;Isola della Scala;4.605.455;401,7;246.62;155,08;2.827.475;2008;11.465
Isola Rizza;599.780;Isola Rizza;1.584.075;490,88;305.02;185,86;984.295;2008;3.227
Lavagno;1.702.620;Lavagno;3.151.570;413,05;189.90;223,15;1.448.950;2008;7.630
Lazise;6.202.880;Lazise;8.296.849;1.228,43;310.03;918,4;2.093.969;2008;6.754
Legnago;4.990.540;Legnago;13.687.998;537,04;341.24;195,8;8.697.458;2008;25.488
Malcesine;2.017.840;Malcesine;4.316.279;1.174,50;625.43;549,07;2.298.439;2008;3.675
Marano di Valpolicella;548.780;Marano di Valpolicella;1.438.425;463,56;286.70;176,85;889.645;2008;3.103
Mezzane di Sotto;337.340;Mezzane di Sotto;835.859;363,58;216.84;146,73;498.519;2008;2.299
Minerbe;680.190;Minerbe;2.145.269;453,26;309.55;143,71;1.465.079;2008;4.733
Montecchia di Crosara;713.790;Montecchia di Crosara;1.458.010;324,15;165.46;158,69;744.220;2008;4.498
Monteforte d'Alpone;1.851.040;Monteforte d'Alpone;3.546.815;424,01;202.72;221,28;1.695.775;2008;8.365
Mozzecane;775.840;Mozzecane;2.835.285;430,63;312.80;117,84;2.059.445;2008;6.584
Negrar;1.773.590;Negrar;6.316.212;368,77;265.22;103,55;4.542.622;2008;17.128
Nogara;1.584.950;Nogara;4.026.553;466,58;282.92;183,66;2.441.603;2008;8.630
Nogarole Rocca;503.960;Nogarole Rocca;1.354.227;399,48;250.82;148,66;850.267;2008;3.390
Oppeano;1.299.690;Oppeano;3.710.482;412,05;267.72;144,33;2.410.792;2008;9.005
Palu';133.420;Palù;391.080;307,94;202.88;105,06;257.660;2008;1.270
Pastrengo;358.460;Pastrengo;1.109.530;409,42;277.15;132,27;751.070;2008;2.710
Pescantina;2.030.560;Pescantina;5.916.442;373,07;245.03;128,04;3.885.882;2008;15.859
Peschiera del Garda;3.680.520;Peschiera del Garda;8.348.331;862,88;482.46;380,42;4.667.811;2008;9.675
Povegliano Veronese;810.480;Povegliano Veronese;2.520.434;355,79;241.38;114,41;1.709.954;2008;7.084
Pressana;341.360;Pressana;910.879;362,03;226.36;135,68;569.519;2008;2.516
Rivoli Veronese;155.220;Rivoli Veronese;644.166;302,14;229.34;72,8;488.946;2008;2.132
Ronca';947.130;Roncà;1.278.440;346,46;89.79;256,67;331.310;2008;3.690
Ronco all'Adige;786.050;Ronco all'Adige;2.109.100;341,17;214.02;127,15;1.323.050;2008;6.182
Roverchiara;409.320;Roverchiara;1.042.390;371,49;225.61;145,87;633.070;2008;2.806
Roveredo di Gua';163.520;Roveredo di Guà;424.946;271,36;166.94;104,42;261.426;2008;1.566
Rovere' Veronese;801.376;Roverè Veronese;919.066;423,53;54.24;369,3;117.690;2008;2.170
Salizzole;530.880;Salizzole;1.452.447;383,84;243.54;140,3;921.567;2008;3.784
San Bonifacio;3.821.870;San Bonifacio;9.475.864;475,15;283.51;191,64;5.653.994;2008;19.943
San Giovanni Ilarione;786.960;San Giovanni Ilarione;1.615.155;311,51;159.73;151,78;828.195;2008;5.185
San Giovanni Lupatoto;7.159.190;San Giovanni Lupatoto;12.426.310;529,12;224.28;304,84;5.267.120;2008;23.485
Sanguinetto;715.920;Sanguinetto;1.980.513;482,11;307.84;174,27;1.264.593;2008;4.108
San Martino Buon Albergo;2.458.720;San Martino Buon Albergo;5.730.418;413,66;236.17;177,49;3.271.698;2008;13.853
San Mauro di Saline;207.189;San Mauro di Saline;237.618;424,32;54.34;369,98;30.429;2008;560.000
San Pietro di Morubio;523.240;San Pietro di Morubio;1.243.330;416,25;241.07;175,17;720.090;2008;2.987
San Pietro in Cariano;1.349.750;San Pietro in Cariano;5.509.853;424,85;320.77;104,08;4.160.103;2008;12.969
Sant'Ambrogio di Valpolicella;1.211.570;Sant'Ambrogio di Valpolicella;4.429.374;387,9;281.79;106,1;3.217.804;2008;11.419
Sant'Anna d'Alfaedo;898.390;Sant'Anna d'Alfaedo;1.078.040;412,57;68.75;343,82;179.650;2008;2.613
San Zeno di Montagna;343.110;San Zeno di Montagna;938.320;697,12;442.21;254,91;595.210;2008;1.346
Selva di Progno;358.040;Selva di Progno;420.110;433,55;64.06;369,49;62.070;2008;969.000
Soave;1.451.730;Soave;3.122.650;452,03;241.88;210,15;1.670.920;2008;6.908
Sommacampagna;1.122.640;Sommacampagna;5.240.998;360,01;282.89;77,11;4.118.358;2008;14.558
Sona;2.369.590;Sona;7.345.900;435,8;295.22;140,58;4.976.310;2008;16.856
Sorga';477.260;Sorgà;1.224.658;386,33;235.77;150,56;747.398;2008;3.170
Terrazzo;283.610;Terrazzo;868.781;371,43;250.18;121,25;585.171;2008;2.339
Torri del Benaco;931.120;Torri del Benaco;2.197.739;754,46;434.82;319,64;1.266.619;2008;2.913
Tregnago;944.320;Tregnago;2.161.821;436,38;245.76;190,62;1.217.501;2008;4.954
Trevenzuolo;389.700;Trevenzuolo;1.092.544;407,36;262.06;145,3;702.844;2008;2.682
Valeggio sul Mincio;2.123.820;Valeggio sul Mincio;6.356.216;456,36;303.88;152,49;4.232.396;2008;13.928
Velo Veronese;290.435;Velo Veronese;333.088;424,32;54.34;369,98;42.653;2008;785.000
Verona;98.817.480;Verona;148.116.667;558,16;185.78;372,38;49.299.187;2008;265.368
Veronella;564.140;Veronella;1.637.435;365,91;239.84;126,06;1.073.295;2008;4.475
Vestenanova;802.510;Vestenanova;1.004.550;374,13;75.25;298,89;202.040;2008;2.685
Vigasio;1.416.674;Vigasio;3.536.346;397,34;238.17;159,18;2.119.672;2008;8.900
Villa Bartolomea;1.026.440;Villa Bartolomea;2.979.608;513,37;336.52;176,85;1.953.168;2008;5.804
Villafranca di Verona;10.906.590;Villafranca di Verona;18.884.335;582,71;246.17;336,54;7.977.745;2008;32.408
Zevio;3.841.660;Zevio;6.693.111;474,29;202.06;272,23;2.851.451;2008;14.112
Zimella;563.280;Zimella;1.617.777;332,19;216.53;115,66;1.054.497;2008;4.870
Agugliaro;110.830;Agugliaro;387.473;281,8;201.19;80,6;276.643;2008;1.375
Albettone;270.784;Albettone;609.851;282,34;156.98;125,36;339.067;2008;2.160
Alonte;233.190;Alonte;524.437;322,73;179.23;143,5;291.247;2008;1.625
Altavilla Vicentina;2.536.140;Altavilla Vicentina;5.376.390;465,89;246.12;219,77;2.840.250;2008;11.540
Altissimo;220.700;Altissimo;545.166;233,58;139.02;94,56;324.466;2008;2.334
Arcugnano;2.196.397;Arcugnano;4.285.453;546,75;266.53;280,22;2.089.056;2008;7.838
Arsiero;512.549;Arsiero;1.091.409;322,33;170.96;151,37;578.860;2008;3.386
Arzignano;3.135.790;Arzignano;9.557.091;371,68;249.73;121,95;6.421.301;2008;25.713
Asiago;4.130.090;Asiago;4.855.182;745,46;111.33;634,13;725.092;2008;6.513
Asigliano Veneto;89.160;Asigliano Veneto;227.294;248,14;150.80;97,34;138.134;2008;916.000
Barbarano Vicentino;723.980;Barbarano Vicentino;1.916.211;429,16;267.02;162,15;1.192.231;2008;4.465
Bassano del Grappa;9.370.835;Bassano del Grappa;22.494.087;523,76;305.57;218,2;13.123.252;2008;42.947
Bolzano Vicentino;684.430;Bolzano Vicentino;2.358.602;368,13;261.30;106,83;1.674.172;2008;6.407
Breganze;859.130;Breganze;3.027.118;347,66;248.99;98,67;2.167.988;2008;8.707
Brendola;836.146;Brendola;2.377.155;357,95;232.04;125,91;1.541.009;2008;6.641
Bressanvido;361.719;Bressanvido;1.035.905;334,16;217.48;116,68;674.186;2008;3.100
Brogliano;386.320;Brogliano;1.061.786;286,66;182.36;104,3;675.466;2008;3.704
Caldogno;996.906;Caldogno;3.632.823;327,67;237.75;89,92;2.635.917;2008;11.087
Caltrano;405.882;Caltrano;726.353;271,84;119.94;151,9;320.471;2008;2.672
Calvene;331.716;Calvene;420.952;319,14;67.65;251,49;89.236;2008;1.319
Camisano Vicentino;1.479.788;Camisano Vicentino;4.097.032;396,31;253.17;143,14;2.617.244;2008;10.338
Campiglia dei Berici;158.630;Campiglia dei Berici;558.907;317,2;227.17;90,03;400.277;2008;1.762
Campolongo sul Brenta;198.655;Campolongo sul Brenta;319.377;388,54;146.86;241,67;120.722;2008;822.000
Carre';1.102.640;Carrè;1.505.189;417,53;111.66;305,86;402.549;2008;3.605
Cartigliano;554.040;Cartigliano;1.153.424;304,09;158.02;146,07;599.384;2008;3.793
Cassola;2.312.550;Cassola;5.365.017;385,56;219.37;166,19;3.052.467;2008;13.915
Castegnero;340.065;Castegnero;866.138;314,27;190.88;123,39;526.073;2008;2.756
Castelgomberto;651.720;Castelgomberto;1.780.751;289,22;183.37;105,85;1.129.031;2008;6.157
Chiampo;1.364.430;Chiampo;3.983.028;311,37;204.71;106,66;2.618.598;2008;12.792
Chiuppano;674.614;Chiuppano;1.039.066;395,53;138.73;256,8;364.452;2008;2.627
Cismon del Grappa;220.154;Cismon del Grappa;359.570;348,76;135.22;213,53;139.416;2008;1.031
Cogollo del Cengio;301.038;Cogollo del Cengio;1.030.185;296,37;209.77;86,6;729.147;2008;3.476
Conco;1.050.570;Conco;1.252.071;559,46;90.04;469,42;201.501;2008;2.238
Cornedo Vicentino;1.481.500;Cornedo Vicentino;3.680.565;308,75;184.47;124,28;2.199.065;2008;11.921
Costabissara;646.920;Costabissara;2.540.767;372,49;277.65;94,84;1.893.847;2008;6.821
Creazzo;1.479.430;Creazzo;4.802.386;434,37;300.56;133,81;3.322.956;2008;11.056
Crespadoro;251.700;Crespadoro;443.211;293,32;126.74;166,58;191.511;2008;1.511
Dueville;2.107.019;Dueville;5.906.675;423,08;272.16;150,92;3.799.656;2008;13.961
Enego;963.310;Enego;1.036.240;536,36;37.75;498,61;72.930;2008;1.932
Fara Vicentino;383.570;Fara Vicentino;1.110.913;278,22;182.15;96,06;727.343;2008;3.993
Foza;278.940;Foza;384.072;516,23;141.31;374,92;105.132;2008;744.000
Gallio;1.671.540;Gallio;1.815.373;733,19;58.09;675,1;143.833;2008;2.476
Gambellara;413.910;Gambellara;1.182.543;353,31;229.65;123,67;768.633;2008;3.347
Gambugliano;72.073;Gambugliano;181.644;217,54;131.22;86,31;109.571;2008;835.000
Grancona;216.571;Grancona;515.038;274,39;159.01;115,38;298.467;2008;1.877
Grisignano di Zocco;593.759;Grisignano di Zocco;1.951.392;452,34;314.70;137,64;1.357.633;2008;4.314
Grumolo delle Abbadesse;479.517;Grumolo delle Abbadesse;1.342.356;358,54;230.46;128,08;862.839;2008;3.744
Isola Vicentina;1.378.009;Isola Vicentina;3.256.778;355,74;205.22;150,52;1.878.769;2008;9.155
Laghi;37.944;Laghi;50.792;390,71;98.83;291,88;12.848;2008;130.000
Lastebasse;76.231;Lastebasse;104.328;451,64;121.63;330;28.097;2008;231.000
Longare;576.215;Longare;1.745.191;312,25;209.16;103,1;1.168.976;2008;5.589
Lonigo;2.522.390;Lonigo;6.169.363;387,99;229.35;158,63;3.646.973;2008;15.901
Lugo di Vicenza;378.724;Lugo di Vicenza;1.170.906;310,17;209.85;100,32;792.182;2008;3.775
Lusiana;828.290;Lusiana;1.055.432;373,34;80.35;292,99;227.142;2008;2.827
Malo;1.777.120;Malo;4.802.643;333,84;210.31;123,53;3.025.523;2008;14.386
Marano Vicentino;1.054.780;Marano Vicentino;3.315.811;344,5;234.91;109,59;2.261.031;2008;9.625
Marostica;1.648.780;Marostica;5.070.020;370,94;250.31;120,63;3.421.240;2008;13.668
Mason Vicentino;406.608;Mason Vicentino;1.069.204;308,66;191.28;117,38;662.596;2008;3.464
Molvena;305.901;Molvena;826.895;309,58;195.06;114,53;520.994;2008;2.671
Montebello Vicentino;786.310;Montebello Vicentino;2.294.514;354,69;233.14;121,55;1.508.204;2008;6.469
Montecchio Maggiore;3.690.924;Montecchio Maggiore;9.303.285;391,92;236.43;155,49;5.612.361;2008;23.738
Montecchio Precalcino;631.778;Montecchio Precalcino;1.672.377;337,31;209.88;127,43;1.040.599;2008;4.958
Monte di Malo;850.740;Monte di Malo;1.061.113;364,52;72.27;292,25;210.373;2008;2.911
Montegalda;437.015;Montegalda;1.185.310;349,65;220.74;128,91;748.295;2008;3.390
Montegaldella;211.763;Montegaldella;637.732;351,17;234.56;116,61;425.969;2008;1.816
Monteviale;478.140;Monteviale;939.664;392,02;192.54;199,47;461.524;2008;2.397
